timestamp,open,high,low,close,volume,amount
2025-12-02,704659.0,705552.0,691891.0,699193.0,0.0,0.0
2025-12-03,699126.0,705020.0,697107.0,698597.0,0.0,0.0
2025-12-04,698510.0,702330.0,694967.0,700514.0,0.0,0.0
2025-12-05,700522.0,708788.0,697540.0,698444.0,0.0,0.0
2025-12-08,698412.0,704308.0,697031.0,699444.0,0.0,0.0
2025-12-09,699269.0,703542.0,695139.0,701130.0,0.0,0.0
2025-12-10,701128.0,707294.0,697714.0,705490.0,0.0,0.0
2025-12-11,705479.0,714517.0,700824.0,713443.0,0.0,0.0
2025-12-12,713448.0,724460.0,708466.0,715923.0,0.0,0.0
2025-12-15,715546.0,725011.0,714129.0,717630.0,0.0,0.0
2025-12-16,717615.0,723537.0,712929.0,718336.0,0.0,0.0
2025-12-17,718159.0,725652.0,717917.0,723819.0,0.0,0.0
2025-12-18,723640.0,731229.0,720183.0,724144.0,0.0,0.0
2025-12-19,724174.0,729303.0,720251.0,726303.0,0.0,0.0
2025-12-22,726366.0,746198.0,726165.0,745198.0,0.0,0.0
2025-12-23,745380.0,754628.0,742898.0,751895.0,0.0,0.0
2025-12-24,752088.0,758962.0,745308.0,750563.0,0.0,0.0
2025-12-25,750563.0,750563.0,750563.0,750563.0,0.0,0.0
2025-12-26,750560.0,762371.0,749803.0,759443.0,0.0,0.0
2025-12-29,760042.0,762369.0,722384.0,727163.0,0.0,0.0
2025-12-30,727239.0,738195.0,725671.0,727037.0,0.0,0.0
2025-12-31,727098.0,733063.0,713629.0,719542.0,0.0,0.0
2026-01-01,719542.0,719542.0,719542.0,719542.0,0.0,0.0
2026-01-02,720998.0,736103.0,720134.0,724059.0,0.0,0.0
2026-01-05,724087.0,745942.0,724087.0,744562.0,0.0,0.0
2026-01-06,744623.0,753339.0,741121.0,752914.0,0.0,0.0
2026-01-07,752828.0,753858.0,742036.0,747638.0,0.0,0.0
2026-01-08,747614.0,752158.0,740015.0,751970.0,0.0,0.0
2026-01-09,751908.0,758922.0,747595.0,757768.0,0.0,0.0
2026-01-12,757610.0,779307.0,757524.0,773823.0,0.0,0.0
2026-01-13,773773.0,781653.0,770073.0,773598.0,0.0,0.0
2026-01-14,773694.0,782820.0,773396.0,780413.0,0.0,0.0
2026-01-15,780181.0,781066.0,772762.0,779442.0,0.0,0.0
2026-01-16,779505.0,780301.0,766097.0,775908.0,0.0,0.0
2026-01-19,775854.0,793194.0,775854.0,791271.0,0.0,0.0
2026-01-20,791362.0,807914.0,789292.0,807471.0,0.0,0.0
2026-01-21,807442.0,829286.0,805378.0,818443.0,0.0,0.0
2026-01-22,818309.0,834330.0,804738.0,833445.0,0.0,0.0
2026-01-23,833414.0,839058.0,823887.0,837874.0,0.0,0.0
2026-01-26,839837.0,857744.0,837048.0,840504.0,0.0,0.0
2026-01-27,840541.0,870197.0,840506.0,868461.0,0.0,0.0
2026-01-28,868322.0,905327.0,864629.0,904558.0,0.0,0.0
2026-01-29,904593.0,939478.0,855920.0,900604.0,0.0,0.0
2026-01-30,900803.0,912940.0,788304.0,816649.0,0.0,0.0
2026-02-02,805395.0,819961.0,740376.0,782488.0,0.0,0.0
2026-02-03,782437.0,837041.0,782428.0,828943.0,0.0,0.0
2026-02-04,828971.0,854168.0,814152.0,832498.0,0.0,0.0
2026-02-05,832508.0,842545.0,801113.0,803993.0,0.0,0.0
2026-02-06,804086.0,838526.0,783519.0,836696.0,0.0,0.0
2026-02-09,836665.0,854592.0,836530.0,849885.0,0.0,0.0
2026-02-10,849936.0,852992.0,837906.0,844008.0,0.0,0.0
2026-02-11,843968.0,859008.0,842471.0,853078.0,0.0,0.0
2026-02-12,853078.0,855822.0,820411.0,827718.0,0.0,0.0
2026-02-13,827718.0,849567.0,822279.0,848755.0,0.0,0.0
2026-02-16,848707.0,848908.0,835886.0,840234.0,0.0,0.0
2026-02-17,840346.0,841686.0,814992.0,821141.0,0.0,0.0
2026-02-18,821095.0,845869.0,816953.0,839929.0,0.0,0.0
2026-02-19,839814.0,849327.0,837327.0,842882.0,0.0,0.0
2026-02-20,842992.0,861033.0,841055.0,860848.0,0.0,0.0
2026-02-23,860656.0,879484.0,860014.0,877861.0,0.0,0.0
2026-02-24,877839.0,881468.0,856894.0,864985.0,0.0,0.0
2026-02-25,865037.0,875868.0,862425.0,867044.0,0.0,0.0
2026-02-26,867063.0,872644.0,859654.0,868092.0,0.0,0.0
2026-02-27,868161.0,885119.0,865654.0,884839.0,0.0,0.0
